h(kJ/kg) \ P(MPa),0.1,0.6,1.1,1.6,2.1,2.6,3.1,3.6,4.1,4.6,5.1,5.6,6.1,6.6,7.1,7.6,8.1,8.6,9.1,9.6,10.1,10.6,11.1,11.6,12.1,12.6,13.0,13.05,13.1,13.15,13.2,13.25,13.3,13.35,13.4,13.45,13.5,13.55,13.6,13.65,13.7,13.75,13.8,13.85,13.9,13.95,14.0,14.05,14.1,14.15,14.2,14.25,14.3,14.35,14.4,14.45,14.5,14.55,14.6,14.65,14.7,14.75,14.8,14.85,14.9,14.95,15.0,15.05,15.1,15.15,15.2,15.25,15.3,15.35,15.4,15.45,15.5,15.55,15.6,15.65,15.7,15.75,15.8,15.85,15.9,15.95,16.0,16.05,16.1,16.15,16.2,16.25,16.3,16.35,16.4,16.45,16.5,16.55,16.6,16.65,16.7,16.75,16.8,16.85,16.9,16.95,17.0,17.1,17.6
50.0,285.0295,284.914,284.7984,284.6829,284.5673,284.4517,284.336,284.2204,284.1047,283.9889,283.8732,283.7574,283.6415,283.5257,283.4098,283.2939,283.178,283.062,282.946,282.83,282.7139,282.5979,282.4818,282.3656,282.2495,282.1333,282.0403,282.0287,282.0171,282.0054,281.9938,281.9822,281.9706,281.9589,281.9473,281.9357,281.9241,281.9124,281.9008,281.8892,281.8776,281.8659,281.8543,281.8427,281.831,281.8194,281.8078,281.7962,281.7845,281.7729,281.7613,281.7496,281.738,281.7264,281.7148,281.7031,281.6915,281.6799,281.6682,281.6566,281.645,281.6333,281.6217,281.6101,281.5984,281.5868,281.5752,281.5635,281.5519,281.5403,281.5286,281.517,281.5054,281.4937,281.4821,281.4705,281.4588,281.4472,281.4355,281.4239,281.4123,281.4006,281.389,281.3774,281.3657,281.3541,281.3424,281.3308,281.3192,281.3075,281.2959,281.2842,281.2726,281.261,281.2493,281.2377,281.226,281.2144,281.2027,281.1911,281.1795,281.1678,281.1562,281.1445,281.1329,281.1212,281.1096,281.0863,280.9698
60.0,287.4154,287.3008,287.1862,287.0716,286.9569,286.8422,286.7275,286.6128,286.498,286.3832,286.2684,286.1535,286.0387,285.9237,285.8088,285.6938,285.5788,285.4638,285.3488,285.2337,285.1186,285.0034,284.8883,284.7731,284.6579,284.5426,284.4504,284.4389,284.4274,284.4158,284.4043,284.3928,284.3812,284.3697,284.3582,284.3467,284.3351,284.3236,284.3121,284.3005,284.289,284.2775,284.2659,284.2544,284.2429,284.2313,284.2198,284.2083,284.1967,284.1852,284.1737,284.1621,284.1506,284.1391,284.1275,284.116,284.1045,284.0929,284.0814,284.0698,284.0583,284.0468,284.0352,284.0237,284.0122,284.0006,283.9891,283.9775,283.966,283.9545,283.9429,283.9314,283.9198,283.9083,283.8968,283.8852,283.8737,283.8621,283.8506,283.8391,283.8275,283.816,283.8044,283.7929,283.7813,283.7698,283.7583,283.7467,283.7352,283.7236,283.7121,283.7005,283.689,283.6774,283.6659,283.6544,283.6428,283.6313,283.6197,283.6082,283.5966,283.5851,283.5735,283.562,283.5504,283.5389,283.5273,283.5042,283.3887
70.0,289.8028,289.6891,289.5754,289.4617,289.3479,289.2341,289.1203,289.0065,288.8926,288.7787,288.6648,288.5508,288.4368,288.3228,288.2088,288.0947,287.9806,287.8665,287.7524,287.6382,287.524,287.4098,287.2955,287.1812,287.0669,286.9526,286.8611,286.8497,286.8382,286.8268,286.8154,286.8039,286.7925,286.781,286.7696,286.7582,286.7467,286.7353,286.7238,286.7124,286.701,286.6895,286.6781,286.6666,286.6552,286.6438,286.6323,286.6209,286.6094,286.598,286.5865,286.5751,286.5637,286.5522,286.5408,286.5293,286.5179,286.5064,286.495,286.4835,286.4721,286.4607,286.4492,286.4378,286.4263,286.4149,286.4034,286.392,286.3805,286.3691,286.3576,286.3462,286.3347,286.3233,286.3118,286.3004,286.2889,286.2775,286.266,286.2546,286.2431,286.2317,286.2202,286.2088,286.1973,286.1859,286.1744,286.163,286.1515,286.1401,286.1286,286.1172,286.1057,286.0943,286.0828,286.0713,286.0599,286.0484,286.037,286.0255,286.0141,286.0026,285.9912,285.9797,285.9682,285.9568,285.9453,285.9224,285.8078
80.0,292.1914,292.0786,291.9658,291.8529,291.74,291.6271,291.5142,291.4012,291.2882,291.1752,291.0621,290.949,290.8359,290.7228,290.6096,290.4964,290.3832,290.27,290.1567,290.0434,289.9301,289.8167,289.7033,289.5899,289.4765,289.363,289.2722,289.2609,289.2495,289.2382,289.2268,289.2155,289.2041,289.1928,289.1814,289.1701,289.1587,289.1474,289.136,289.1247,289.1133,289.102,289.0906,289.0792,289.0679,289.0565,289.0452,289.0338,289.0225,289.0111,288.9998,288.9884,288.9771,288.9657,288.9543,288.943,288.9316,288.9203,288.9089,288.8976,288.8862,288.8748,288.8635,288.8521,288.8408,288.8294,288.818,288.8067,288.7953,288.784,288.7726,288.7612,288.7499,288.7385,288.7272,288.7158,288.7044,288.6931,288.6817,288.6703,288.659,288.6476,288.6363,288.6249,288.6135,288.6022,288.5908,288.5794,288.5681,288.5567,288.5453,288.534,288.5226,288.5112,288.4999,288.4885,288.4771,288.4658,288.4544,288.443,288.4317,288.4203,288.4089,288.3976,288.3862,288.3748,288.3635,288.3407,288.227
90.0,294.5811,294.4691,294.3572,294.2451,294.1331,294.021,293.9089,293.7968,293.6846,293.5724,293.4602,293.348,293.2357,293.1234,293.0111,292.8987,292.7864,292.674,292.5615,292.4491,292.3366,292.2241,292.1115,291.999,291.8864,291.7738,291.6836,291.6724,291.6611,291.6498,291.6386,291.6273,291.616,291.6048,291.5935,291.5822,291.571,291.5597,291.5484,291.5372,291.5259,291.5146,291.5034,291.4921,291.4808,291.4696,291.4583,291.447,291.4357,291.4245,291.4132,291.4019,291.3907,291.3794,291.3681,291.3568,291.3456,291.3343,291.323,291.3117,291.3005,291.2892,291.2779,291.2667,291.2554,291.2441,291.2328,291.2216,291.2103,291.199,291.1877,291.1764,291.1652,291.1539,291.1426,291.1313,291.1201,291.1088,291.0975,291.0862,291.0749,291.0637,291.0524,291.0411,291.0298,291.0186,291.0073,290.996,290.9847,290.9734,290.9621,290.9509,290.9396,290.9283,290.917,290.9057,290.8945,290.8832,290.8719,290.8606,290.8493,290.838,290.8268,290.8155,290.8042,290.7929,290.7816,290.759,290.6462
100.0,296.9717,296.8605,296.7493,296.6381,296.5269,296.4157,296.3044,296.1931,296.0817,295.9703,295.8589,295.7475,295.6361,295.5246,295.4131,295.3015,295.19,295.0784,294.9668,294.8551,294.7435,294.6318,294.52,294.4083,294.2965,294.1847,294.0952,294.0841,294.0729,294.0617,294.0505,294.0393,294.0281,294.0169,294.0058,293.9946,293.9834,293.9722,293.961,293.9498,293.9386,293.9275,293.9163,293.9051,293.8939,293.8827,293.8715,293.8603,293.8491,293.8379,293.8268,293.8156,293.8044,293.7932,293.782,293.7708,293.7596,293.7484,293.7372,293.726,293.7148,293.7037,293.6925,293.6813,293.6701,293.6589,293.6477,293.6365,293.6253,293.6141,293.6029,293.5917,293.5805,293.5693,293.5581,293.5469,293.5357,293.5245,293.5133,293.5021,293.491,293.4798,293.4686,293.4574,293.4462,293.435,293.4238,293.4126,293.4014,293.3902,293.379,293.3678,293.3566,293.3454,293.3342,293.323,293.3118,293.3006,293.2894,293.2782,293.267,293.2558,293.2445,293.2333,293.2221,293.2109,293.1997,293.1773,293.0653
110.0,299.3629,299.2526,299.1422,299.0318,298.9214,298.8109,298.7004,298.5899,298.4793,298.3688,298.2582,298.1475,298.0369,297.9262,297.8155,297.7047,297.5939,297.4831,297.3723,297.2615,297.1506,297.0397,296.9287,296.8178,296.7068,296.5958,296.5069,296.4958,296.4847,296.4736,296.4625,296.4514,296.4403,296.4292,296.4181,296.407,296.3959,296.3848,296.3737,296.3626,296.3515,296.3403,296.3292,296.3181,296.307,296.2959,296.2848,296.2737,296.2626,296.2515,296.2404,296.2293,296.2181,296.207,296.1959,296.1848,296.1737,296.1626,296.1515,296.1404,296.1292,296.1181,296.107,296.0959,296.0848,296.0737,296.0626,296.0514,296.0403,296.0292,296.0181,296.007,295.9959,295.9847,295.9736,295.9625,295.9514,295.9403,295.9292,295.918,295.9069,295.8958,295.8847,295.8736,295.8624,295.8513,295.8402,295.8291,295.818,295.8068,295.7957,295.7846,295.7735,295.7624,295.7512,295.7401,295.729,295.7179,295.7068,295.6956,295.6845,295.6734,295.6623,295.6511,295.64,295.6289,295.6178,295.5955,295.4842
120.0,301.7547,301.6452,301.5356,301.4259,301.3163,301.2066,301.0969,300.9871,300.8774,300.7676,300.6577,300.5479,300.438,300.3281,300.2181,300.1081,299.9981,299.8881,299.7781,299.668,299.5579,299.4477,299.3376,299.2274,299.1172,299.0069,298.9187,298.9077,298.8966,298.8856,298.8746,298.8636,298.8525,298.8415,298.8305,298.8194,298.8084,298.7974,298.7863,298.7753,298.7643,298.7532,298.7422,298.7312,298.7202,298.7091,298.6981,298.6871,298.676,298.665,298.654,298.6429,298.6319,298.6208,298.6098,298.5988,298.5877,298.5767,298.5657,298.5546,298.5436,298.5326,298.5215,298.5105,298.4994,298.4884,298.4774,298.4663,298.4553,298.4443,298.4332,298.4222,298.4111,298.4001,298.3891,298.378,298.367,298.3559,298.3449,298.3339,298.3228,298.3118,298.3007,298.2897,298.2786,298.2676,298.2566,298.2455,298.2345,298.2234,298.2124,298.2013,298.1903,298.1792,298.1682,298.1572,298.1461,298.1351,298.124,298.113,298.1019,298.0909,298.0798,298.0688,298.0577,298.0467,298.0356,298.0135,297.903
130.0,304.147,304.0382,303.9294,303.8205,303.7116,303.6027,303.4937,303.3847,303.2757,303.1667,303.0576,302.9485,302.8394,302.7302,302.621,302.5118,302.4025,302.2933,302.1839,302.0746,301.9653,301.8559,301.7464,301.637,301.5275,301.418,301.3304,301.3195,301.3085,301.2976,301.2866,301.2757,301.2647,301.2537,301.2428,301.2318,301.2209,301.2099,301.199,301.188,301.1771,301.1661,301.1551,301.1442,301.1332,301.1223,301.1113,301.1003,301.0894,301.0784,301.0675,301.0565,301.0456,301.0346,301.0236,301.0127,301.0017,300.9907,300.9798,300.9688,300.9579,300.9469,300.9359,300.925,300.914,300.903,300.8921,300.8811,300.8702,300.8592,300.8482,300.8373,300.8263,300.8153,300.8044,300.7934,300.7824,300.7715,300.7605,300.7495,300.7386,300.7276,300.7166,300.7057,300.6947,300.6837,300.6728,300.6618,300.6508,300.6398,300.6289,300.6179,300.6069,300.596,300.585,300.574,300.5631,300.5521,300.5411,300.5301,300.5192,300.5082,300.4972,300.4862,300.4753,300.4643,300.4533,300.4314,300.3216
