efpd,master_bu,ras_bu,delta_bu,master_ppm,ras_ppm,delta_ppm,master_keff,ras_keff,delta_pcm,master_ao,ras_ao,delta_ao,master_fqn,ras_fqn,delta_fqn,master_frn,ras_frn,delta_frn,master_fqp,ras_fqp,delta_fqp,master_frp,ras_frp,delta_frp,master_tfavg_c,ras_tfavg_c,delta_tfavg_c,master_tmavg_c,ras_tmavg_c,delta_tmavg_c,master_dmavg,ras_dmavg,delta_dmavg
0.0,0.0,0.0,0.0,767.96,770.1473205987376,2.1873205987375286,1.0,1.0000133191250162,1.331894761946728,-0.0967,-0.09575575198077864,0.0009442480192213554,1.7177,1.7130787987359193,-0.004621201264080721,1.2281,1.2294747742497547,0.00137477424975474,1.9724,1.9617648682668285,-0.010635131733171432,1.4108,1.4138189162162957,0.003018916216295686,697.86,683.251909871235,-14.60809012876507,308.53,308.4866048404573,-0.04339515954268336,0.706336,0.7063964880910651,6.0488091065180605e-05
2.5,0.0965,0.09648575149337552,-1.4248506624486845e-05,728.85,732.9486528632341,4.098652863234065,1.0,0.9999884097215785,-1.1590412757556123,-0.0877,-0.08475591199111905,0.002944088008880949,1.6815,1.6786824909612856,-0.002817509038714361,1.2271,1.230150197679754,0.0030501976797538966,1.9227,1.9148749246617367,-0.007825075338263376,1.4092,1.4088108250799238,-0.00038917492007617405,697.33,678.997625397455,-18.332374602545087,308.47,308.45453151740753,-0.015468482592496002,0.706507,0.7064928299108509,-1.4170089149057041e-05
5.0,0.193,0.19297519131045704,-2.4808689542965556e-05,704.31,707.3420720877,3.032072087700044,1.0,0.9999849747635773,-1.5025462183793081,-0.0872,-0.08270747009578534,0.004492529904214657,1.6696,1.662214461097801,-0.0073855389021990625,1.2205,1.2250309439852902,0.004530943985290303,1.9138,1.8962926090056755,-0.017507390994324412,1.4151,1.4120320229669634,-0.0030679770330366285,696.55,679.1477014647204,-17.402298535279556,308.46,308.4487740006359,-0.01122599936405777,0.706528,0.706512440389812,-1.5559610188065065e-05
10.0,0.386,0.3859594581136392,-4.054188636082312e-05,689.89,690.987203642622,1.0972036426220484,0.999999,0.9999915206096746,-0.747946122614529,-0.0871,-0.08362949323873606,0.003470506761263939,1.6503,1.642319530530335,-0.00798046946966502,1.2053,1.2087434740775262,0.0034434740775262096,1.9393,1.921560481424411,-0.017739518575589086,1.4277,1.427286800109238,-0.0004131998907619394,694.81,679.5138752717594,-15.296124728240557,308.46,308.42837998153277,-0.03162001846720841,0.706527,0.7065533596174034,2.6359617403381996e-05
15.0,0.5789,0.5789330493487252,3.3049348725278094e-05,690.35,689.9659314101555,-0.38406858984455994,1.0,1.0000024940941181,0.24940878976531522,-0.0862,-0.08264735793447257,0.0035526420655274255,1.6636,1.6407890682130088,-0.022810931786991118,1.2164,1.2103865913255336,-0.006013408674466314,1.9709,1.9497025635668226,-0.021197436433177508,1.4414,1.440270156492772,-0.001129843507228001,693.06,679.9033297743025,-13.15667022569744,308.44,308.4196958155994,-0.020304184400572467,0.706544,0.706562699452936,1.8699452936088434e-05
20.0,0.7719,0.7719104571155693,1.0457115569240116e-05,694.86,693.3000924609806,-1.5599075390193775,1.0,0.9999929980049499,-0.7002044078330272,-0.0849,-0.0810846391026012,0.003815360897398798,1.6891,1.6624787800782008,-0.026621219921799222,1.2283,1.221205719447926,-0.0070942805520739505,1.9956,1.9695304235788662,-0.026069576421133833,1.452,1.4495535845156051,-0.002446415484394837,691.34,680.2796603569257,-11.060339643074371,308.43,308.4039077397489,-0.02609226025111866,0.706571,0.7065893236395077,1.832363950771132e-05
30.0,1.1579,1.1578705397561309,-2.9460243869072755e-05,703.47,699.7851410617378,-3.6848589382622094,1.0,1.0000174491853433,1.744888087451546,-0.0791,-0.07581884913993771,0.0032811508600622957,1.7083,1.6786907898302947,-0.02960921016970519,1.2431,1.234665969596228,-0.008434030403771997,2.0067,1.9763413419790836,-0.030358658020916307,1.462,1.4579941098173785,-0.00400589018262143,688.16,680.9845350116883,-7.17546498831166,308.37,308.35593381982994,-0.01406618017006167,0.706682,0.7066884084559517,6.408455951678604e-06
45.0,1.7368,1.7368146026988365,1.460269883657439e-05,706.42,700.6514966012572,-5.768503398742723,1.0,0.9999976142352798,-0.2385770412116628,-0.0688,-0.06612796587405537,0.0026720341259446334,1.7062,1.672367264769469,-0.033832735230530986,1.2547,1.2443760050693056,-0.010323994930694358,1.9866,1.9508489231591302,-0.035751076840869755,1.4645,1.458197830517601,-0.006302169482398812,683.94,681.9828420359672,-1.957157964032831,308.29,308.2735177419985,-0.016482258001531136,0.706878,0.7068747457479765,-3.2542520235212535e-06
60.0,2.3158,2.315744489064381,-5.551093561884102e-05,700.62,693.0411890090514,-7.578810990948568,1.0,0.9999897349673881,-1.0265137983855865,-0.0597,-0.05750050092577513,0.00219949907422487,1.6902,1.653944119199279,-0.03625588080072095,1.2594,1.2480098116883156,-0.01139018831168448,1.9492,1.9125319261620304,-0.03666807383796966,1.4593,1.4515988290224997,-0.007701170977500338,680.22,682.966045397795,2.746045397795001,308.21,308.2139565555116,0.003956555511592796,0.707055,0.7070153970688712,-3.9602931128812635e-05
75.0,2.8947,2.8946835532693584,-1.6446730641384022e-05,689.86,680.5506629856853,-9.309337014314679,1.0,1.0000019843912675,0.19843873296787606,-0.0526,-0.051044200264201964,0.0015557997357980372,1.6801,1.6417466774832852,-0.03835332251671475,1.2623,1.2500438451906764,-0.012256154809323627,1.9107,1.8735018834654564,-0.037198116534543635,1.451,1.4422775121677196,-0.008722487832280468,676.81,683.9751038106779,7.16510381067792,308.15,308.1429321106501,-0.00706788934985525,0.707197,0.7071837421794404,-1.3257820559609002e-05
